연번,지방청,경찰서,관서명,지역파출소,치안센터명,주소,lon,lat,geometry
73,서울청,서울금천,금천,파출소,시흥본치안센터,서울 금천구 금하로 11길 40,126.904108523,37.455445841,POINT (126.904108523 37.455445841)
74,서울청,서울금천,금천,파출소,시흥3치안센터,서울 금천구 시흥대로37길 18,126.902648171,37.445753984,POINT (126.902648171 37.445753984)
75,서울청,서울금천,독산,파출소,신독산치안센터,서울 금천구 한내로 69-17,126.887782722,37.457941999,POINT (126.887782722 37.457941999)
76,서울청,서울중랑,망우,지구대,망우1치안센터,서울 중랑구 용마산로118길 103,127.106400108,37.601235467,POINT (127.106400108 37.601235467)
77,서울청,서울중랑,망우,지구대,망우3치안센터,서울 중랑구 용마공원로5길 13,127.101748109,37.594747802,POINT (127.101748109 37.594747802)
78,서울청,서울중랑,용마,지구대,면목4치안센터,서울 중랑구 답십리로 75길 61,127.080568419,37.574370433,POINT (127.080568419 37.574370433)
79,서울청,서울중랑,용마,지구대,면목7치안센터,서울 중랑구 면목로 275,127.085710369,37.577366764,POINT (127.085710369 37.577366764)
80,서울청,서울중랑,상봉,파출소,면목2치안센터,서울 중랑구 봉우재로6길 5,127.076238511,37.589680806,POINT (127.076238511 37.589680806)
81,서울청,서울중랑,상봉,파출소,상봉2치안센터,서울 중랑구 봉우재로 93-5,127.083262947,37.592425109,POINT (127.083262947 37.592425109)
82,서울청,서울중랑,면목본동,파출소,면목1치안센터,서울 중랑구 면목로66길 7,127.088615648,37.586672054,POINT (127.088615648 37.586672054)
83,서울청,서울중랑,면목삼팔,파출소,면목8치안센터,서울 중랑구 용마산로 370,127.094575712,37.584779511,POINT (127.094575712 37.584779511)
84,서울청,서울중랑,중화,지구대,중화1치안센터,서울 중랑구 동일로 792,127.079814362,37.601159691,POINT (127.079814362 37.601159691)
85,서울청,서울강남,삼성1,파출소,코엑스치안센터,서울 영동대로 513,127.059037019,37.512018310,POINT (127.059037019 37.51201831)
86,서울청,서울강남,청담,파출소,청담2치안센터,서울 강남구 삼성로 761,127.047875572,37.522709016,POINT (127.047875572 37.522709016)
87,서울청,서울강남,압구정,파출소,압구정치안센터,서울 강남구 압구정로 33길 48,127.030652538,37.530617492,POINT (127.030652538 37.530617492)
88,서울청,서울관악,당곡,지구대,보라매치안센터,서울 관악구 봉천로 279,126.932778593,37.488178614,POINT (126.932778593 37.488178614)
89,서울청,서울관악,낙성대,지구대,행운치안센터,서울 관악구 남부순환로239길 8,126.961537205,37.478461140,POINT (126.961537205 37.47846114)
90,서울청,서울관악,낙성대,지구대,인헌치안센터,서울 관악구 인헌6길 23,126.965376378,37.473965149,POINT (126.965376378 37.473965149)
91,서울청,서울관악,신림,지구대,서원치안센터,서울 관악구 신원로 311,126.929143,37.4818815,POINT (126.929143 37.4818815)
92,서울청,서울관악,신림,지구대,신원치안센터,서울 관악구 문성로27길 12-15,126.9264494,37.479479,POINT (126.9264494 37.479479)
94,서울청,서울관악,관악산,지구대,대학동치안센터,서울 관악구 대학길 48,126.937557728,37.468573703,POINT (126.937557728 37.468573703)
95,서울청,서울관악,관악산,지구대,삼성치안센터,서울 관악구 호암로 501,126.931656963,37.462495200,POINT (126.931656963 37.4624952)
96,서울청,서울관악,구암,지구대,청림치안센터,서울 관악구 청림3마길 14-1,126.958030573,37.491050822,POINT (126.958030573 37.491050822)
97,서울청,서울관악,난우,파출소,난곡치안센터,서울 관악구 난곡로 180-1,126.920016480,37.471253889,POINT (126.92001648 37.471253889)
98,서울청,서울강서,화곡,지구대,화곡본동치안센터,서울 강서구 까치산로 51,126.845382101,37.543811299,POINT (126.845382101 37.543811299)
99,서울청,서울강서,공항,지구대,개화2치안센터,서울 강서구 개화동로 275-1,126.799931933,37.579328748,POINT (126.799931933 37.579328748)
100,서울청,서울강동,천호,지구대,천호2치안센터,서울 강동구 천호동 전중로 11-14,127.1236774,37.5463112,POINT (127.1236774 37.5463112)
101,서울청,서울강동,천호,지구대,천호3치안센터,서울 강동구 천호동 천호대로 159길7,127.1269891,37.5379319,POINT (127.1269891 37.5379319)
102,서울청,서울강동,길동,지구대,길동2치안센터,서울 강동구 천호대로 197길 96,127.1269891,37.5379319,POINT (127.1269891 37.5379319)
103,서울청,서울강동,암사,지구대,암사1치안센터,서울 강동구 올림픽로 98가길 57,127.132633926,37.551462349,POINT (127.132633926 37.551462349)
104,서울청,서울강동,암사,지구대,천호1치안센터,서울 강동구 구면천로 42길 59,127.1362782,37.5451403,POINT (127.1362782 37.5451403)
105,서울청,서울강동,성내,지구대,성내2치안센터,서울 강동구 천호옛길 68-1,127.124606155,37.534999695,POINT (127.124606155 37.534999695)
106,서울청,서울강동,명일,파출소,명일1치안센터,서울 강동구 양재대로 138길37,127.1451476,37.5498247,POINT (127.1451476 37.5498247)
107,서울청,서울종암,석관,파출소,석관1치안센터,서울 성북구 한천로76길11,127.063315505,37.611288716,POINT (127.063315505 37.611288716)
108,서울청,서울종암,장위,지구대,장위1치안센터,서울 성북구 장위로 82,127.045717023,37.613771223,POINT (127.045717023 37.613771223)
109,서울청,서울종암,장위,지구대,장위3치안센터,서울 성북구 한천로 701,127.0448482,37.6193705,POINT (127.0448482 37.6193705)
110,서울청,서울종암,월곡,지구대,월곡2치안센터,서울 북구 화랑로 96,127.042767322,37.602909735,POINT (127.042767322 37.602909735)
111,서울청,서울종암,월곡,지구대,길음2치안센터,서울 성북구 삼양로2길 70,127.027289366,37.606718902,POINT (127.027289366 37.606718902)
112,서울청,서울종암,종암,파출소,종암2치안센터,서울 성북구 종암로 88,127.035096998,37.598185834,POINT (127.035096998 37.598185834)
113,서울청,서울구로,신구로,지구대,구로치안센터,서울 구로구 경인로 577-1,126.8806198,37.5041037,POINT (126.8806198 37.5041037)
114,서울청,서울구로,신구로,지구대,신도림치안센터,서울 구로구 신도림로 40,126.880601310,37.507774099,POINT (126.88060131 37.507774099)
115,서울청,서울구로,구일,지구대,구로2치안센터,서울 구로구 구로동로 141,126.883409464,37.491357611,POINT (126.883409464 37.491357611)
116,서울청,서울구로,고척,지구대,고척1치안센터,서울 구로구 중앙로 3,126.892596315,37.490596468,POINT (126.892596315 37.490596468)
117,서울청,서울구로,고척,지구대,개봉1치안센터,서울 구로구 고척로27길 27,126.846960876,37.503151861,POINT (126.846960876 37.503151861)
118,서울청,서울구로,개봉,지구대,개봉치안센터,서울 구로구 경인로 293,126.852942459,37.498000531,POINT (126.852942459 37.498000531)
119,서울청,서울구로,개봉,지구대,개봉3치안센터,서울 구로구 개봉로 1가길 28,126.853830737,37.485853464,POINT (126.853830737 37.485853464)
120,서울청,서울구로,오류,지구대,수궁치안센터,서울 구로구 부일로 1길 68,126.818896345,37.493476139,POINT (126.818896345 37.493476139)
121,서울청,서울서초,반포,지구대,반포치안센터,서울 서초구 주흥15길 41,127.017214624,37.507905619,POINT (127.017214624 37.507905619)
122,서울청,서울서초,반포,지구대,잠원치안센터,서울 서초구 나루터로 38,127.014006862,37.514961065,POINT (127.014006862 37.514961065)
123,서울청,서울서초,서초3,파출소,방서치안센타,서울 서초구 명달로 55,127.004456650,37.482362302,POINT (127.00445665 37.482362302)
124,서울청,서울서초,내곡,파출소,내곡치안센터,서울 서초구 염곡말길 9,127.051178938,37.461975009,POINT (127.051178938 37.461975009)
125,서울청,서울서초,우면,파출소,우면치안센터,서울 서초구 바우뫼로 45,127.027167105,37.471884404,POINT (127.027167105 37.471884404)
126,서울청,서울양천,목1,지구대,목6치안센터,서울 양천구 목동서로 11,126.884415982,37.538010994,POINT (126.884415982 37.538010994)
127,서울청,서울양천,목2,지구대,목2치안센터,서울 양천구 목동중앙본로 27길 25,126.869000776,37.544170053,POINT (126.869000776 37.544170053)
128,서울청,서울양천,목2,지구대,목4치안센터,서울 양천구목동중앙로23,126.8680492,37.5324456,POINT (126.8680492 37.5324456)
129,서울청,서울양천,신정1,지구대,신정7치안센터,서울 양천구 목동남로93,126.868873744,37.511513220,POINT (126.868873744 37.51151322)
130,서울청,서울양천,신정2,지구대,신정2치안센터,서울 양천구 목동동로 152,126.870549907,37.519174510,POINT (126.870549907 37.51917451)
131,서울청,서울양천,신월2,지구대,신월4치안센터,서울 양천구 오목로5길 34,126.840065719,37.524717069,POINT (126.840065719 37.524717069)
132,서울청,서울양천,신월5,파출소,신월3치안센터,서울 양천구 가로공원로 101,126.827236409,37.535929075,POINT (126.827236409 37.535929075)
133,서울청,서울송파,방이,지구대,송파1치안센터,서울 송파구 백제고분로 392,127.109315398,37.506262934,POINT (127.109315398 37.506262934)
134,서울청,서울송파,잠실,지구대,잠실본동치안센터,서울 송파구 백제고분로 15길 5,127.084610538,37.506023703,POINT (127.084610538 37.506023703)
135,서울청,서울송파,잠실,지구대,잠실5치안센터,서울 송파구 잠실로 51-29,127.094106657,37.513304835,POINT (127.094106657 37.513304835)
136,서울청,서울송파,삼전,지구대,석촌치안센터,서울 송파구 백제고분로 37길 20,127.103891400,37.503629654,POINT (127.1038914 37.503629654)
137,서울청,서울송파,가락,지구대,가락2치안센터,서울 송파구 오금로 46길 55,127.132366639,37.493222209,POINT (127.132366639 37.493222209)
138,서울청,서울송파,문정,지구대,문정2치안센터,서울 송파구 중대로 18,127.111104874,37.489948266,POINT (127.111104874 37.489948266)
139,서울청,서울송파,마천,파출소,마천1치안센터,서울 송파구 성내천로 43가길 14-1,127.154990200,37.496462514,POINT (127.1549902 37.496462514)
140,서울청,서울송파,풍납,파출소,풍납1치안센터,서울 송파구 풍성로 25길 17,127.120458754,37.535083309,POINT (127.120458754 37.535083309)
141,서울청,서울송파,신천,파출소,월드치안센터,서울 송파구 송파대로 567 지하1층,127.093036957,37.516062177,POINT (127.093036957 37.516062177)
142,서울청,서울송파,위례,파출소,장지치안센터,서울 송파구 성남대로 1576,127.127440578,37.470553402,POINT (127.127440578 37.470553402)
143,서울청,서울노원,당현,지구대,하계1치안센터,서울 노원구 공릉로 290,127.072469429,37.633281138,POINT (127.072469429 37.633281138)
144,서울청,서울노원,월계,지구대,월계치안센터,서울 노원구 석계로 93,127.061447210,37.622828119,POINT (127.06144721 37.622828119)
145,서울청,서울노원,월계,지구대,월계2치안센터,서울 노원구 초안산로 2,127.055750263,37.628473108,POINT (127.055750263 37.628473108)
146,서울청,서울노원,월게,지구대,월계3치안센터,서울 노원구 마들로 55,127.069324786,37.620863877,POINT (127.069324786 37.620863877)
147,서울청,서울노원,화랑,지구대,공릉치안센터,서울 노원구 공릉로 189,127.078917043,37.626712509,POINT (127.078917043 37.626712509)
148,서울청,서울노원,불암,지구대,중계본치안센터,서울 노원구 중계로 139,127.080388806,37.647637416,POINT (127.080388806 37.647637416)
149,서울청,서울노원,당고개,파출소,상계4치안센터,서울 노원구 상계로35길29,127.077852729,37.671471050,POINT (127.077852729 37.67147105)
150,서울청,서울노원,마들,지구대,상계8치안센터,서울 노원구 동일로227길97,127.051555136,37.666745597,POINT (127.051555136 37.666745597)
151,서울청,서울방배,남태령,지구대,방배3치안센터,서울 서초구 방배로 40,126.999997003,37.478437475,POINT (126.999997003 37.478437475)
152,서울청,서울방배,서래,파출소,구반포치안센터,서울 서초구 신반포로15길 14,126.994578566,37.504470858,POINT (126.994578566 37.504470858)
153,서울청,서울방배,이수,파출소,방배4치안센터,서울 서초구 방배중앙로 131,126.986929501,37.490907841,POINT (126.986929501 37.490907841)
154,서울청,서울은평,불광,지구대,불광1치안센터,서울 은평구 불광로 129,126.932921971,37.618305441,POINT (126.932921971 37.618305441)
155,서울청,서울은평,불광,지구대,불광2치안센터,서울 은평구 통일로 914,126.920240502,37.624447841,POINT (126.920240502 37.624447841)
156,서울청,서울은평,연신내,지구대,구산치안센터,서울 은평구 갈현로 151,126.911149397,37.611501860,POINT (126.911149397 37.61150186)
157,서울청,서울은평,연신내,지구대,갈현치안센터,서울 은평구 갈현로 41길 3,126.916633459,37.623869933,POINT (126.916633459 37.623869933)
158,서울청,서울은평,진관,파출소,신도치안센터,서울 은평구 진관2로 125,126.931351860,37.634335021,POINT (126.93135186 37.634335021)
159,서울청,서울은평,진관,파출소,상림치안센터,서울 은평구 진관4로 48-25,126.928968852,37.644237588,POINT (126.928968852 37.644237588)
160,서울청,서울은평,역촌,파출소,역촌1치안센터,서울 은평구 연서로6길 19,126.917942002,37.604451412,POINT (126.917942002 37.604451412)
161,서울청,서울도봉,신방학,파출소,방학2치안센터,서울 도봉구 방학로 12길 18,127.030663866,37.662872533,POINT (127.030663866 37.662872533)
162,서울청,서울수서,도곡,지구대,도곡치안센터,서울 강남구 남부순환로378길29,127.046838208,37.484573930,POINT (127.046838208 37.48457393)
163,서울청,서울수서,도곡,지구대,역서치안센터,서울 강남구 역삼로 117,127.032208940,37.493858138,POINT (127.03220894 37.493858138)
164,서울청,서울수서,대치,지구대,은마치안센터,서울 강남구 삼성로 236,127.061485324,37.498378668,POINT (127.061485324 37.498378668)
165,서울청,서울수서,수서,파출소,수서역치안센터,서울 강남구 밤고개로 99,127.104581889,37.485402682,POINT (127.104581889 37.485402682)
